fee_id,payment_id,fee_amount,fee_type,created_at
FEE00001,PAY00001,82.96,PROCESSING_FEE,2026-08-11 07:52:42
FEE00002,PAY00002,26.38,PROCESSING_FEE,2026-08-02 12:23:02
FEE00003,PAY00003,290.24,PROCESSING_FEE,2026-08-11 09:31:55
FEE00004,PAY00004,170.48,PROCESSING_FEE,2026-08-27 05:54:54
FEE00005,PAY00005,156.28,PROCESSING_FEE,2026-08-03 12:39:18
FEE00006,PAY00006,101.44,PROCESSING_FEE,2026-08-03 20:41:23
FEE00007,PAY00007,77.16,PROCESSING_FEE,2026-08-23 07:06:58
FEE00008,PAY00008,367.4,PROCESSING_FEE,2026-08-03 01:32:05
FEE00009,PAY00009,66.96,PROCESSING_FEE,2026-08-25 13:32:38
FEE00010,PAY00010,396.98,PROCESSING_FEE,2026-08-05 19:25:04
FEE00011,PAY00011,286.5,PROCESSING_FEE,2026-08-05 22:28:59
FEE00012,PAY00012,30.82,PROCESSING_FEE,2026-08-22 18:38:25
FEE00013,PAY00013,29.52,PROCESSING_FEE,2026-08-26 09:27:50
FEE00014,PAY00014,71.4,PROCESSING_FEE,2026-08-07 17:16:59
FEE00015,PAY00015,153.28,PROCESSING_FEE,2026-08-12 13:42:35
FEE00016,PAY00016,162.46,PROCESSING_FEE,2026-08-25 07:40:51
FEE00017,PAY00017,341.18,PROCESSING_FEE,2026-08-29 03:37:46
FEE00018,PAY00018,27.38,PROCESSING_FEE,2026-08-20 05:53:16
FEE00019,PAY00019,377.8,PROCESSING_FEE,2026-08-09 23:39:33
FEE00020,PAY00020,140.3,PROCESSING_FEE,2026-08-25 21:13:18
FEE_CONFLICT_01,PAY00007,500.0,ADDITIONAL_FEE,2026-08-23 07:06:58
