payment_id,order_id,customer_id,amount,payment_method,status,created_at
PAY00001,ORD00001,CUST00001,4148.0,WALLET,SUCCESS,2026-08-10 15:35:33
PAY00002,ORD00002,CUST00002,1319.0,CARD,SUCCESS,2026-08-01 20:05:53
PAY00003,ORD00003,CUST00003,9512.0,WALLET,SUCCESS,2026-08-10 17:14:46
PAY00004,ORD00004,CUST00004,8524.0,NETBANKING,SUCCESS,2026-08-26 13:37:45
PAY00005,ORD00005,CUST00005,7814.0,UPI,SUCCESS,2026-08-02 20:22:09
PAY00006,ORD00006,CUST00006,5072.0,CARD,SUCCESS,2026-08-03 04:24:14
PAY00007,ORD00007,CUST00007,3858.0,WALLET,SUCCESS,2026-08-22 14:49:49
PAY00008,ORD00008,CUST00008,18370.0,NETBANKING,SUCCESS,2026-08-02 09:14:56
PAY00009,ORD00009,CUST00009,3348.0,NETBANKING,SUCCESS,2026-08-24 21:15:29
PAY00010,ORD00010,CUST00010,19849.0,CARD,SUCCESS,2026-08-05 03:07:55
PAY00011,ORD00011,CUST00011,14325.0,CARD,SUCCESS,2026-08-05 06:11:50
PAY00012,ORD00012,CUST00012,1541.0,NETBANKING,SUCCESS,2026-08-22 02:21:16
PAY00013,ORD00013,CUST00013,1476.0,UPI,SUCCESS,2026-08-25 17:10:41
PAY00014,ORD00014,CUST00014,3570.0,UPI,SUCCESS,2026-08-07 00:59:50
PAY00015,ORD00015,CUST00015,7664.0,WALLET,SUCCESS,2026-08-11 21:25:26
PAY00016,ORD00016,CUST00016,8123.0,UPI,SUCCESS,2026-08-24 15:23:42
PAY00017,ORD00017,CUST00017,17059.0,NETBANKING,SUCCESS,2026-08-28 11:20:37
PAY00018,ORD00018,CUST00018,1369.0,NETBANKING,SUCCESS,2026-08-19 13:36:07
PAY00019,ORD00019,CUST00019,18890.0,NETBANKING,SUCCESS,2026-08-09 07:22:24
PAY00020,ORD00020,CUST00020,7015.0,UPI,SUCCESS,2026-08-25 04:56:09
PAY00006_DUP,ORD00006,CUST00006,5072.0,CARD,SUCCESS,2026-08-03 04:24:14
