settlement_id,payment_id,settlement_amount,settlement_date,status
SET00001,PAY00001,13643.36,2026-08-15 19:58:42,SETTLED
SET00003,PAY00003,15385.02,2026-08-13 00:01:37,SETTLED
SET00004,PAY00004,5974.08,2026-08-02 04:50:33,SETTLED
SET00005,PAY00005,5875.1,2026-08-21 11:56:42,SETTLED
SET00006,PAY00006,11387.6,2026-08-12 23:43:55,SETTLED
SET00007,PAY00007,1350.54,2026-08-03 16:54:26,SETTLED
SET00008,PAY00008,14079.66,2026-08-18 21:46:29,SETTLED
SET00009,PAY00009,19082.56,2026-08-19 04:54:43,SETTLED
SET00010,PAY00010,13700.76,2026-08-27 23:27:29,SETTLED
SET00011,PAY00011,19280.52,2026-08-18 19:54:25,SETTLED
SET00012,PAY00012,13151.13,2026-08-30 20:57:57,SETTLED
SET00013,PAY00013,2595.04,2026-08-11 04:24:53,SETTLED
SET00014,PAY00014,12640.04,2026-08-26 04:55:24,SETTLED
SET00015,PAY00015,16343.46,2026-08-15 18:57:42,SETTLED
SET00016,PAY00016,4844.14,2026-08-23 13:35:29,SETTLED
SET00017,PAY00017,15557.5,2026-08-04 18:13:59,SETTLED
SET00018,PAY00018,1057.42,2026-08-24 21:19:11,SETTLED
SET00019,PAY00019,12973.24,2026-08-21 20:56:26,SETTLED
SET00020,PAY00020,8075.2,2026-08-09 10:59:37,SETTLED
