fee_id,payment_id,fee_amount,fee_type,created_at
FEE00001,PAY00001,82.96,PROCESSING_FEE,2026-08-10 15:35:33
FEE00002,PAY00002,26.38,PROCESSING_FEE,2026-08-01 20:05:53
FEE00003,PAY00003,190.24,PROCESSING_FEE,2026-08-10 17:14:46
FEE00004,PAY00004,170.48,PROCESSING_FEE,2026-08-26 13:37:45
FEE00005,PAY00005,156.28,PROCESSING_FEE,2026-08-02 20:22:09
FEE00006,PAY00006,101.44,PROCESSING_FEE,2026-08-03 04:24:14
FEE00007,PAY00007,77.16,PROCESSING_FEE,2026-08-22 14:49:49
FEE00008,PAY00008,367.40,PROCESSING_FEE,2026-08-02 09:14:56
FEE00009,PAY00009,66.96,PROCESSING_FEE,2026-08-24 21:15:29
FEE00010,PAY00010,396.98,PROCESSING_FEE,2026-08-05 03:07:55
FEE00011,PAY00011,286.50,PROCESSING_FEE,2026-08-05 06:11:50
FEE00012,PAY00012,30.82,PROCESSING_FEE,2026-08-22 02:21:16
FEE00013,PAY00013,29.52,PROCESSING_FEE,2026-08-25 17:10:41
FEE00014,PAY00014,71.40,PROCESSING_FEE,2026-08-07 00:59:50
FEE00015,PAY00015,153.28,PROCESSING_FEE,2026-08-11 21:25:26
FEE00016,PAY00016,162.46,PROCESSING_FEE,2026-08-24 15:23:42
FEE00017,PAY00017,341.18,PROCESSING_FEE,2026-08-28 11:20:37
FEE00018,PAY00018,27.38,PROCESSING_FEE,2026-08-19 13:36:07
FEE00019,PAY00019,377.80,PROCESSING_FEE,2026-08-09 07:22:24
FEE00020,PAY00020,140.30,PROCESSING_FEE,2026-08-25 04:56:09
