ledger_id,payment_id,entry_type,amount,created_at
LED00001,PAY00001,PAYMENT,6714.00,2026-07-30 10:38:28
LED00002,PAY00001,FEE,-134.28,2026-07-30 10:38:28
LED00003,PAY00002,PAYMENT,5869.00,2026-08-13 04:17:27
LED00004,PAY00002,FEE,-117.38,2026-08-13 04:17:27
LED00005,PAY00003,PAYMENT,5695.00,2026-07-31 07:57:49
LED00006,PAY00003,FEE,-113.90,2026-07-31 07:57:49
LED00007,PAY00004,PAYMENT,11886.00,2026-08-19 19:57:13
LED00008,PAY00004,FEE,-237.72,2026-08-19 19:57:13
LED00009,PAY00005,PAYMENT,16064.00,2026-08-09 09:10:06
LED00010,PAY00005,FEE,-321.28,2026-08-09 09:10:06
LED00011,PAY00006,PAYMENT,4917.00,2026-07-31 07:17:32
LED00012,PAY00006,FEE,-98.34,2026-07-31 07:17:32
LED00013,PAY00007,PAYMENT,5062.00,2026-08-04 19:36:26
LED00014,PAY00007,FEE,-101.24,2026-08-04 19:36:26
LED00015,PAY00008,PAYMENT,12116.00,2026-07-30 12:14:30
LED00016,PAY00008,FEE,-242.32,2026-07-30 12:14:30
LED00017,PAY00009,PAYMENT,15576.00,2026-08-25 11:19:00
LED00018,PAY00009,FEE,-311.52,2026-08-25 11:19:00
LED00019,PAY00010,PAYMENT,13246.00,2026-08-09 14:14:03
LED00020,PAY00010,FEE,-264.92,2026-08-09 14:14:03
LED00021,PAY00011,PAYMENT,19809.00,2026-08-21 04:08:44
LED00022,PAY00011,FEE,-396.18,2026-08-21 04:08:44
LED00023,PAY00012,PAYMENT,15142.00,2026-08-07 01:18:55
LED00024,PAY00012,FEE,-302.84,2026-08-07 01:18:55
LED00025,PAY00012,REFUND,-8933.78,2026-08-11 01:18:55
LED00026,PAY00013,PAYMENT,2220.00,2026-07-30 08:39:20
LED00027,PAY00013,FEE,-44.40,2026-07-30 08:39:20
LED00028,PAY00014,PAYMENT,8315.00,2026-08-10 21:03:28
LED00029,PAY00014,FEE,-166.30,2026-08-10 21:03:28
LED00030,PAY00015,PAYMENT,11317.00,2026-08-16 22:35:59
LED00031,PAY00015,FEE,-226.34,2026-08-16 22:35:59
LED00032,PAY00016,PAYMENT,10252.00,2026-08-10 10:40:29
LED00033,PAY00016,FEE,-205.04,2026-08-10 10:40:29
LED00034,PAY00017,PAYMENT,9143.00,2026-08-07 02:30:30
LED00035,PAY00017,FEE,-182.86,2026-08-07 02:30:30
LED00036,PAY00018,PAYMENT,706.00,2026-08-03 00:25:58
LED00037,PAY00018,FEE,-14.12,2026-08-03 00:25:58
LED00038,PAY00018,REFUND,-487.14,2026-08-07 00:25:58
LED00039,PAY00019,PAYMENT,6652.00,2026-08-05 00:23:04
LED00040,PAY00019,FEE,-133.04,2026-08-05 00:23:04
LED00041,PAY00020,PAYMENT,17851.00,2026-08-19 14:28:06
LED00042,PAY00020,FEE,-357.02,2026-08-19 14:28:06
