order_id,customer_id,order_amount,created_at
ORD00001,CUST00001,4148.00,2026-08-11 07:52:42
ORD00002,CUST00002,1319.00,2026-08-02 12:23:02
ORD00003,CUST00003,9512.00,2026-08-11 09:31:55
ORD00004,CUST00004,8524.00,2026-08-27 05:54:54
ORD00005,CUST00005,7814.00,2026-08-03 12:39:18
ORD00006,CUST00006,5072.00,2026-08-03 20:41:23
ORD00007,CUST00007,3858.00,2026-08-23 07:06:58
ORD00008,CUST00008,18370.00,2026-08-03 01:32:05
ORD00009,CUST00009,3348.00,2026-08-25 13:32:38
ORD00010,CUST00010,19849.00,2026-08-05 19:25:04
ORD00011,CUST00011,14325.00,2026-08-05 22:28:59
ORD00012,CUST00012,1541.00,2026-08-22 18:38:25
ORD00013,CUST00013,1476.00,2026-08-26 09:27:50
ORD00014,CUST00014,3570.00,2026-08-07 17:16:59
ORD00015,CUST00015,7664.00,2026-08-12 13:42:35
ORD00016,CUST00016,8123.00,2026-08-25 07:40:51
ORD00017,CUST00017,17059.00,2026-08-29 03:37:46
ORD00018,CUST00018,1369.00,2026-08-20 05:53:16
ORD00019,CUST00019,18890.00,2026-08-09 23:39:33
ORD00020,CUST00020,7015.00,2026-08-25 21:13:18
