settlement_id,payment_id,settlement_amount,settlement_date,status
SET00001,PAY00001,6579.72,2026-08-01 10:38:28,SETTLED
SET00002,PAY00002,5751.62,2026-08-15 04:17:27,SETTLED
SET00003,PAY00003,5581.10,2026-08-02 07:57:49,SETTLED
SET00004,PAY00004,11648.28,2026-08-21 19:57:13,SETTLED
SET00005,PAY00005,15742.72,2026-08-11 09:10:06,SETTLED
SET00006,PAY00006,4818.66,2026-08-02 07:17:32,SETTLED
SET00007,PAY00007,4960.76,2026-08-06 19:36:26,SETTLED
SET00008,PAY00008,11873.68,2026-08-01 12:14:30,SETTLED
SET00009,PAY00009,15264.48,2026-08-27 11:19:00,SETTLED
SET00010,PAY00010,12981.08,2026-08-11 14:14:03,SETTLED
SET00011,PAY00011,19412.82,2026-08-23 04:08:44,SETTLED
SET00012,PAY00012,5905.38,2026-08-09 01:18:55,SETTLED
SET00013,PAY00013,2175.60,2026-08-01 08:39:20,SETTLED
SET00014,PAY00014,8148.70,2026-08-12 21:03:28,SETTLED
SET00015,PAY00015,11090.66,2026-08-18 22:35:59,SETTLED
SET00016,PAY00016,10046.96,2026-08-12 10:40:29,SETTLED
SET00017,PAY00017,8960.14,2026-08-09 02:30:30,SETTLED
SET00018,PAY00018,204.74,2026-08-05 00:25:58,SETTLED
SET00019,PAY00019,6518.96,2026-08-07 00:23:04,SETTLED
SET00020,PAY00020,17493.98,2026-08-21 14:28:06,SETTLED
