case_id,payment_id,exception_type,true_root_cause,expected_decision,actual_decision,decision_ok,resolution_path_ok,operation_ok,passed,investigation_mode,successful_hypotheses
S001,PAY00004,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,RESOLUTION_CANDIDATE,RESOLUTION_CANDIDATE,True,True,True,True,DETERMINISTIC,1
S002,PAY00009,FEE_MISMATCH,FEE_AMOUNT_ERROR,RESOLUTION_CANDIDATE,HUMAN_REVIEW,False,False,False,False,AI,2
S003,PAY00005,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,RESOLUTION_CANDIDATE,RESOLUTION_CANDIDATE,True,True,True,True,DETERMINISTIC,1
S004,PAY00004,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,RESOLUTION_CANDIDATE,RESOLUTION_CANDIDATE,True,True,True,True,DETERMINISTIC,1
S005,PAY00018,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,RESOLUTION_CANDIDATE,RESOLUTION_CANDIDATE,True,True,True,True,DETERMINISTIC,1
S006,PAY00014,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,RESOLUTION_CANDIDATE,RESOLUTION_CANDIDATE,True,True,True,True,DETERMINISTIC,1
S007,PAY00003,FEE_MISMATCH,FEE_AMOUNT_ERROR,RESOLUTION_CANDIDATE,RESOLUTION_CANDIDATE,True,True,True,True,DETERMINISTIC,1
S008,PAY00017,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,RESOLUTION_CANDIDATE,RESOLUTION_CANDIDATE,True,True,True,True,DETERMINISTIC,1
S009,PAY00001,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,RESOLUTION_CANDIDATE,RESOLUTION_CANDIDATE,True,True,True,True,DETERMINISTIC,1
S010,PAY00007,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,RESOLUTION_CANDIDATE,RESOLUTION_CANDIDATE,True,True,True,True,DETERMINISTIC,1
S011,PAY00018,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,RESOLUTION_CANDIDATE,RESOLUTION_CANDIDATE,True,True,True,True,DETERMINISTIC,1
S012,PAY00008,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,RESOLUTION_CANDIDATE,RESOLUTION_CANDIDATE,True,True,True,True,DETERMINISTIC,1
S013,PAY00001,FEE_MISMATCH,FEE_AMOUNT_ERROR,RESOLUTION_CANDIDATE,RESOLUTION_CANDIDATE,True,True,True,True,DETERMINISTIC,1
S014,PAY00005,FEE_MISMATCH,FEE_AMOUNT_ERROR,RESOLUTION_CANDIDATE,RESOLUTION_CANDIDATE,True,True,True,True,DETERMINISTIC,1
S015,PAY00004,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,RESOLUTION_CANDIDATE,RESOLUTION_CANDIDATE,True,True,True,True,DETERMINISTIC,1
S016,PAY00004,REFUND_MISMATCH,REFUND_AMOUNT_ERROR,RESOLUTION_CANDIDATE,RESOLUTION_CANDIDATE,True,True,True,True,DETERMINISTIC,1
S017,PAY00020,REFUND_MISMATCH,REFUND_AMOUNT_ERROR,RESOLUTION_CANDIDATE,RESOLUTION_CANDIDATE,True,True,True,True,DETERMINISTIC,1
S018,PAY00015,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,RESOLUTION_CANDIDATE,RESOLUTION_CANDIDATE,True,True,True,True,DETERMINISTIC,1
S019,PAY00004,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,RESOLUTION_CANDIDATE,RESOLUTION_CANDIDATE,True,True,True,True,DETERMINISTIC,1
S020,PAY00003,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,RESOLUTION_CANDIDATE,RESOLUTION_CANDIDATE,True,True,True,True,DETERMINISTIC,1
S021,PAY00010,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,RESOLUTION_CANDIDATE,RESOLUTION_CANDIDATE,True,True,True,True,DETERMINISTIC,1
S022,PAY00020,REFUND_MISMATCH,REFUND_AMOUNT_ERROR,RESOLUTION_CANDIDATE,RESOLUTION_CANDIDATE,True,True,True,True,DETERMINISTIC,1
S023,PAY00003,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,RESOLUTION_CANDIDATE,RESOLUTION_CANDIDATE,True,True,True,True,DETERMINISTIC,1
S024,PAY00003,FEE_MISMATCH,FEE_AMOUNT_ERROR,RESOLUTION_CANDIDATE,RESOLUTION_CANDIDATE,True,True,True,True,DETERMINISTIC,1
S025,PAY00015,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,RESOLUTION_CANDIDATE,RESOLUTION_CANDIDATE,True,True,True,True,DETERMINISTIC,1
S026,PAY00012,FEE_MISMATCH,FEE_AMOUNT_ERROR,RESOLUTION_CANDIDATE,RESOLUTION_CANDIDATE,True,True,True,True,DETERMINISTIC,1
S027,PAY00012,FEE_MISMATCH,FEE_AMOUNT_ERROR,RESOLUTION_CANDIDATE,RESOLUTION_CANDIDATE,True,True,True,True,DETERMINISTIC,1
