payment_id,order_id,customer_id,amount,payment_method,status,created_at
PAY00001,ORD00001,CUST00001,4148.0,WALLET,SUCCESS,2026-08-11 09:43:06
PAY00002,ORD00002,CUST00002,1319.0,CARD,SUCCESS,2026-08-02 14:13:26
PAY00003,ORD00003,CUST00003,9512.0,WALLET,SUCCESS,2026-08-11 11:22:19
PAY00004,ORD00004,CUST00004,8524.0,NETBANKING,SUCCESS,2026-08-27 07:45:18
PAY00005,ORD00005,CUST00005,7814.0,UPI,SUCCESS,2026-08-03 14:29:42
PAY00006,ORD00006,CUST00006,5072.0,CARD,SUCCESS,2026-08-03 22:31:47
PAY00007,ORD00007,CUST00007,3858.0,WALLET,SUCCESS,2026-08-23 08:57:22
PAY00008,ORD00008,CUST00008,18370.0,NETBANKING,SUCCESS,2026-08-03 03:22:29
PAY00009,ORD00009,CUST00009,3348.0,NETBANKING,SUCCESS,2026-08-25 15:23:02
PAY00010,ORD00010,CUST00010,19849.0,CARD,SUCCESS,2026-08-05 21:15:28
PAY00011,ORD00011,CUST00011,14325.0,CARD,SUCCESS,2026-08-06 00:19:23
PAY00012,ORD00012,CUST00012,1541.0,NETBANKING,SUCCESS,2026-08-22 20:28:49
PAY00013,ORD00013,CUST00013,1476.0,UPI,SUCCESS,2026-08-26 11:18:14
PAY00014,ORD00014,CUST00014,3570.0,UPI,SUCCESS,2026-08-07 19:07:23
PAY00015,ORD00015,CUST00015,7664.0,WALLET,SUCCESS,2026-08-12 15:32:59
PAY00016,ORD00016,CUST00016,8123.0,UPI,SUCCESS,2026-08-25 09:31:15
PAY00017,ORD00017,CUST00017,17059.0,NETBANKING,SUCCESS,2026-08-29 05:28:10
PAY00018,ORD00018,CUST00018,1369.0,NETBANKING,SUCCESS,2026-08-20 07:43:40
PAY00019,ORD00019,CUST00019,18890.0,NETBANKING,SUCCESS,2026-08-10 01:29:57
PAY00020,ORD00020,CUST00020,7015.0,UPI,SUCCESS,2026-08-25 23:03:42
