settlement_id,payment_id,settlement_amount,settlement_date,status
SET00001,PAY00001,4065.04,2026-08-13 09:43:06,SETTLED
SET00002,PAY00002,1292.62,2026-08-04 14:13:26,SETTLED
SET00003,PAY00003,9321.76,2026-08-13 11:22:19,SETTLED
SET00004,PAY00004,5540.6,2026-08-29 07:45:18,SETTLED
SET00005,PAY00005,7657.72,2026-08-05 14:29:42,SETTLED
SET00006,PAY00006,4970.56,2026-08-05 22:31:47,SETTLED
SET00007,PAY00007,3780.84,2026-08-25 08:57:22,SETTLED
SET00008,PAY00008,18002.6,2026-08-05 03:22:29,SETTLED
SET00009,PAY00009,2812.32,2026-08-27 15:23:02,SETTLED
SET00010,PAY00010,18952.02,2026-08-07 21:15:28,SETTLED
SET00011,PAY00011,14038.5,2026-08-08 00:19:23,SETTLED
SET00012,PAY00012,1510.18,2026-08-24 20:28:49,SETTLED
SET00013,PAY00013,1446.48,2026-08-28 11:18:14,SETTLED
SET00014,PAY00014,3498.6,2026-08-09 19:07:23,SETTLED
SET00015,PAY00015,7510.72,2026-08-14 15:32:59,SETTLED
SET00016,PAY00016,7960.54,2026-08-27 09:31:15,SETTLED
SET00017,PAY00017,11429.53,2026-08-31 05:28:10,SETTLED
SET00018,PAY00018,1341.62,2026-08-22 07:43:40,SETTLED
SET00019,PAY00019,18512.2,2026-08-12 01:29:57,SETTLED
SET00020,PAY00020,3507.5,2026-08-27 23:03:42,SETTLED
