ledger_id,payment_id,entry_type,amount,created_at
LED00001,PAY00001,PAYMENT,4148.0,2026-08-11 09:43:06
LED00002,PAY00001,FEE,-82.96,2026-08-11 09:43:06
LED00003,PAY00002,PAYMENT,1319.0,2026-08-02 14:13:26
LED00004,PAY00002,FEE,-26.38,2026-08-02 14:13:26
LED00005,PAY00003,PAYMENT,9512.0,2026-08-11 11:22:19
LED00006,PAY00003,FEE,-190.24,2026-08-11 11:22:19
LED00007,PAY00004,PAYMENT,8524.0,2026-08-27 07:45:18
LED00008,PAY00004,FEE,-170.48,2026-08-27 07:45:18
LED00009,PAY00004,REFUND,-2812.92,2026-09-01 07:45:18
LED00010,PAY00005,PAYMENT,7814.0,2026-08-03 14:29:42
LED00011,PAY00005,FEE,-156.28,2026-08-03 14:29:42
LED00012,PAY00006,PAYMENT,5072.0,2026-08-03 22:31:47
LED00013,PAY00006,FEE,-101.44,2026-08-03 22:31:47
LED00014,PAY00007,PAYMENT,3858.0,2026-08-23 08:57:22
LED00015,PAY00007,FEE,-77.16,2026-08-23 08:57:22
LED00016,PAY00008,PAYMENT,18370.0,2026-08-03 03:22:29
LED00017,PAY00008,FEE,-367.4,2026-08-03 03:22:29
LED00018,PAY00009,PAYMENT,3348.0,2026-08-25 15:23:02
LED00019,PAY00009,FEE,-66.96,2026-08-25 15:23:02
LED00020,PAY00009,REFUND,-468.72,2026-08-27 15:23:02
LED00021,PAY00010,PAYMENT,19849.0,2026-08-05 21:15:28
LED00022,PAY00010,FEE,-396.98,2026-08-05 21:15:28
LED00023,PAY00011,PAYMENT,14325.0,2026-08-06 00:19:23
LED00024,PAY00011,FEE,-286.5,2026-08-06 00:19:23
LED00026,PAY00012,FEE,-30.82,2026-08-22 20:28:49
LED00027,PAY00013,PAYMENT,1476.0,2026-08-26 11:18:14
LED00028,PAY00013,FEE,-29.52,2026-08-26 11:18:14
LED00029,PAY00014,PAYMENT,3570.0,2026-08-07 19:07:23
LED00030,PAY00014,FEE,-71.4,2026-08-07 19:07:23
LED00031,PAY00015,PAYMENT,7664.0,2026-08-12 15:32:59
LED00032,PAY00015,FEE,-153.28,2026-08-12 15:32:59
LED00033,PAY00016,PAYMENT,8123.0,2026-08-25 09:31:15
LED00034,PAY00016,FEE,-162.46,2026-08-25 09:31:15
LED00035,PAY00017,PAYMENT,17059.0,2026-08-29 05:28:10
LED00036,PAY00017,FEE,-341.18,2026-08-29 05:28:10
LED00037,PAY00017,REFUND,-5288.29,2026-09-01 05:28:10
LED00038,PAY00018,PAYMENT,1369.0,2026-08-20 07:43:40
LED00039,PAY00018,FEE,-27.38,2026-08-20 07:43:40
LED00040,PAY00019,PAYMENT,18890.0,2026-08-10 01:29:57
LED00041,PAY00019,FEE,-377.8,2026-08-10 01:29:57
LED00042,PAY00020,PAYMENT,7015.0,2026-08-25 23:03:42
LED00043,PAY00020,FEE,-140.3,2026-08-25 23:03:42
LED00044,PAY00020,REFUND,-3367.2,2026-08-30 23:03:42
