fee_id,payment_id,fee_amount,fee_type,created_at
FEE00001,PAY00001,82.96,PROCESSING_FEE,2026-08-11 09:43:06
FEE00002,PAY00002,26.38,PROCESSING_FEE,2026-08-02 14:13:26
FEE00003,PAY00003,190.24,PROCESSING_FEE,2026-08-11 11:22:19
FEE00004,PAY00004,170.48,PROCESSING_FEE,2026-08-27 07:45:18
FEE00005,PAY00005,156.28,PROCESSING_FEE,2026-08-03 14:29:42
FEE00006,PAY00006,101.44,PROCESSING_FEE,2026-08-03 22:31:47
FEE00007,PAY00007,77.16,PROCESSING_FEE,2026-08-23 08:57:22
FEE00008,PAY00008,367.4,PROCESSING_FEE,2026-08-03 03:22:29
FEE00009,PAY00009,66.96,PROCESSING_FEE,2026-08-25 15:23:02
FEE00010,PAY00010,396.98,PROCESSING_FEE,2026-08-05 21:15:28
FEE00011,PAY00011,286.5,PROCESSING_FEE,2026-08-06 00:19:23
FEE00012,PAY00012,30.82,PROCESSING_FEE,2026-08-22 20:28:49
FEE00013,PAY00013,29.52,PROCESSING_FEE,2026-08-26 11:18:14
FEE00014,PAY00014,71.4,PROCESSING_FEE,2026-08-07 19:07:23
FEE00015,PAY00015,153.28,PROCESSING_FEE,2026-08-12 15:32:59
FEE00016,PAY00016,162.46,PROCESSING_FEE,2026-08-25 09:31:15
FEE00017,PAY00017,341.18,PROCESSING_FEE,2026-08-29 05:28:10
FEE00018,PAY00018,27.38,PROCESSING_FEE,2026-08-20 07:43:40
FEE00019,PAY00019,277.8,PROCESSING_FEE,2026-08-10 01:29:57
FEE00020,PAY00020,140.3,PROCESSING_FEE,2026-08-25 23:03:42
