case_id,payment_id,exception_type,true_root_cause,expected_behavior
S001,PAY00004,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S002,PAY00009,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S003,PAY00005,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S004,PAY00004,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S005,PAY00018,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S006,PAY00014,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S007,PAY00003,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S008,PAY00017,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S009,PAY00001,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S010,PAY00007,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S011,PAY00018,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S012,PAY00008,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S013,PAY00001,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S014,PAY00005,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S015,PAY00004,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S016,PAY00004,REFUND_MISMATCH,REFUND_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S017,PAY00020,REFUND_MISMATCH,REFUND_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S018,PAY00015,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S019,PAY00004,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S020,PAY00003,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S021,PAY00010,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S022,PAY00020,REFUND_MISMATCH,REFUND_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S023,PAY00003,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S024,PAY00003,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S025,PAY00015,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S026,PAY00012,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S027,PAY00012,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S028,PAY00003,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S029,PAY00006,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S030,PAY00008,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S031,PAY00018,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S032,PAY00011,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S033,PAY00009,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S034,PAY00019,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S035,PAY00011,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S036,PAY00013,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S037,PAY00015,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S038,PAY00005,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S039,PAY00019,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S040,PAY00019,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S041,PAY00017,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S042,PAY00003,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S043,PAY00005,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S044,PAY00006,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S045,PAY00014,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S046,PAY00003,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S047,PAY00013,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S048,PAY00015,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S049,PAY00009,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S050,PAY00001,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S051,PAY00004,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S052,PAY00011,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S053,PAY00014,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S054,PAY00001,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S055,PAY00009,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S056,PAY00006,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S057,PAY00004,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S058,PAY00010,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S059,PAY00017,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S060,PAY00007,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S061,PAY00006,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S062,PAY00017,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S063,PAY00011,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S064,PAY00001,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S065,PAY00010,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S066,PAY00008,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S067,PAY00003,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S068,PAY00016,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S069,PAY00005,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S070,PAY00018,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S071,PAY00017,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S072,PAY00014,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S073,PAY00007,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S074,PAY00010,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S075,PAY00012,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S076,PAY00017,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S077,PAY00004,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S078,PAY00001,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S079,PAY00018,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S080,PAY00008,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S081,PAY00003,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S082,PAY00016,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S083,PAY00005,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S084,PAY00019,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S085,PAY00016,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S086,PAY00004,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S087,PAY00014,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S088,PAY00015,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S089,PAY00002,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S090,PAY00004,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S091,PAY00011,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S092,PAY00007,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S093,PAY00015,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S094,PAY00015,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S095,PAY00015,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S096,PAY00004,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S097,PAY00018,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S098,PAY00008,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S099,PAY00016,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S100,PAY00007,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S101,PAY00002,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S102,PAY00001,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S103,PAY00009,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S104,PAY00010,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S105,PAY00018,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S106,PAY00016,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S107,PAY00010,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S108,PAY00019,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_RECORD,INVESTIGATE_AND_RESOLVE
S109,PAY00018,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S110,PAY00011,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S111,PAY00019,MISSING_SETTLEMENT,SETTLEMENT_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S112,PAY00017,MISSING_LEDGER_ENTRY,LEDGER_RECORD_MISSING,INVESTIGATE_AND_RESOLVE
S113,PAY00006,SETTLEMENT_AMOUNT_MISMATCH,SETTLEMENT_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
S114,PAY00003,FEE_MISMATCH,FEE_AMOUNT_ERROR,INVESTIGATE_AND_RESOLVE
